GVKEY,LPERMNO,iid,datadate,trt1m,conml
002136,65875,01,2016/01/31,9.3358,Verizon Communications Inc
002136,65875,01,2016/02/29,1.5209,Verizon Communications Inc
002136,65875,01,2016/03/31,6.6036,Verizon Communications Inc
002136,65875,01,2016/04/30,-4.7615,Verizon Communications Inc
002136,65875,01,2016/05/31,-0.0785,Verizon Communications Inc
002136,65875,01,2016/06/30,9.7053,Verizon Communications Inc
002136,65875,01,2016/07/31,0.2418,Verizon Communications Inc
002136,65875,01,2016/08/31,-5.5586,Verizon Communications Inc
002136,65875,01,2016/09/30,-0.6688,Verizon Communications Inc
002136,65875,01,2016/10/31,-6.3534,Verizon Communications Inc
002136,65875,01,2016/11/30,3.7422,Verizon Communications Inc
002136,65875,01,2016/12/31,6.9739,Verizon Communications Inc
002285,19561,01,2010/01/31,11.9527,Boeing Co
002285,19561,01,2010/02/28,4.9175,Boeing Co
002285,19561,01,2010/03/31,14.9620,Boeing Co
002285,19561,01,2010/04/30,-0.2479,Boeing Co
002285,19561,01,2010/05/31,-10.8104,Boeing Co
002285,19561,01,2010/06/30,-2.2281,Boeing Co
002285,19561,01,2010/07/31,8.5896,Boeing Co
002285,19561,01,2010/08/31,-9.6713,Boeing Co
002285,19561,01,2010/09/30,8.8500,Boeing Co
002285,19561,01,2010/10/31,6.1617,Boeing Co
002285,19561,01,2010/11/30,-9.1308,Boeing Co
002285,19561,01,2010/12/31,2.3365,Boeing Co
002285,19561,01,2011/01/31,6.4664,Boeing Co
002285,19561,01,2011/02/28,4.2458,Boeing Co
002285,19561,01,2011/03/31,2.6663,Boeing Co
002285,19561,01,2011/04/30,7.9129,Boeing Co
002285,19561,01,2011/05/31,-1.6671,Boeing Co
002285,19561,01,2011/06/30,-5.2544,Boeing Co
002285,19561,01,2011/07/31,-4.6801,Boeing Co
002285,19561,01,2011/08/31,-4.5267,Boeing Co
002285,19561,01,2011/09/30,-9.4975,Boeing Co
002285,19561,01,2011/10/31,8.7258,Boeing Co
002285,19561,01,2011/11/30,5.0464,Boeing Co
002285,19561,01,2011/12/31,6.7841,Boeing Co
002285,19561,01,2012/01/31,1.1316,Boeing Co
002285,19561,01,2012/02/29,1.6312,Boeing Co
002285,19561,01,2012/03/31,-0.7738,Boeing Co
002285,19561,01,2012/04/30,3.2674,Boeing Co
002285,19561,01,2012/05/31,-8.7891,Boeing Co
002285,19561,01,2012/06/30,6.7375,Boeing Co
002285,19561,01,2012/07/31,-0.5249,Boeing Co
002285,19561,01,2012/08/31,-2.8007,Boeing Co
002285,19561,01,2012/09/30,-2.5280,Boeing Co
002285,19561,01,2012/10/31,1.2142,Boeing Co
002285,19561,01,2012/11/30,6.0761,Boeing Co
002285,19561,01,2012/12/31,1.4540,Boeing Co
002285,19561,01,2013/01/31,-1.9772,Boeing Co
002285,19561,01,2013/02/28,4.7584,Boeing Co
002285,19561,01,2013/03/31,11.6385,Boeing Co
002285,19561,01,2013/04/30,6.4764,Boeing Co
002285,19561,01,2013/05/31,8.8557,Boeing Co
002285,19561,01,2013/06/30,3.4538,Boeing Co
002285,19561,01,2013/07/31,2.5966,Boeing Co
002285,19561,01,2013/08/31,-0.6613,Boeing Co
002285,19561,01,2013/09/30,13.0677,Boeing Co
002285,19561,01,2013/10/31,11.0638,Boeing Co
002285,19561,01,2013/11/30,3.2452,Boeing Co
002285,19561,01,2013/12/31,1.6685,Boeing Co
002285,19561,01,2014/01/31,-8.2277,Boeing Co
002285,19561,01,2014/02/28,3.5047,Boeing Co
002285,19561,01,2014/03/31,-2.6606,Boeing Co
002285,19561,01,2014/04/30,2.8130,Boeing Co
002285,19561,01,2014/05/31,5.3945,Boeing Co
002285,19561,01,2014/06/30,-5.9298,Boeing Co
002285,19561,01,2014/07/31,-5.3054,Boeing Co
002285,19561,01,2014/08/31,5.8516,Boeing Co
002285,19561,01,2014/09/30,0.4574,Boeing Co
002285,19561,01,2014/10/31,-1.9391,Boeing Co
002285,19561,01,2014/11/30,8.1499,Boeing Co
002285,19561,01,2014/12/31,-3.2599,Boeing Co
002285,19561,01,2015/01/31,11.8403,Boeing Co
002285,19561,01,2015/02/28,4.3957,Boeing Co
002285,19561,01,2015/03/31,-0.5104,Boeing Co
002285,19561,01,2015/04/30,-4.4909,Boeing Co
002285,19561,01,2015/05/31,-1.3325,Boeing Co
002285,19561,01,2015/06/30,-1.2810,Boeing Co
002285,19561,01,2015/07/31,3.9288,Boeing Co
002285,19561,01,2015/08/31,-8.7258,Boeing Co
002285,19561,01,2015/09/30,0.2066,Boeing Co
002285,19561,01,2015/10/31,13.0737,Boeing Co
002285,19561,01,2015/11/30,-1.1549,Boeing Co
002285,19561,01,2015/12/31,-0.5913,Boeing Co
002285,19561,01,2016/01/31,-16.9168,Boeing Co
002285,19561,01,2016/02/29,-0.7159,Boeing Co
002285,19561,01,2016/03/31,7.4124,Boeing Co
002285,19561,01,2016/04/30,6.1919,Boeing Co
002285,19561,01,2016/05/31,-5.6083,Boeing Co
002285,19561,01,2016/06/30,2.9489,Boeing Co
002285,19561,01,2016/07/31,2.9183,Boeing Co
002285,19561,01,2016/08/31,-2.3343,Boeing Co
002285,19561,01,2016/09/30,1.7690,Boeing Co
002285,19561,01,2016/10/31,8.1145,Boeing Co
002285,19561,01,2016/11/30,6.4734,Boeing Co
002285,19561,01,2016/12/31,3.4006,Boeing Co
002817,18542,01,2010/01/31,-7.5978,Caterpillar Inc
002817,18542,01,2010/02/28,9.2075,Caterpillar Inc
002817,18542,01,2010/03/31,10.1665,Caterpillar Inc
002817,18542,01,2010/04/30,9.0056,Caterpillar Inc
002817,18542,01,2010/05/31,-10.7652,Caterpillar Inc
002817,18542,01,2010/06/30,-1.1356,Caterpillar Inc
